".y.","group1","group2","effsize","node","tract","n1","n2","conf.low","conf.high","magnitude"
"pre","0","1",0.458561516366872,34,"Left_IFOF",27,56,-0.0048,0.97,"small"
"pre","0","1",0.134166955048477,34,"Left_ILF",27,56,-0.32,0.6,"negligible"
"pre","0","1",0.0171141624132296,34,"Left_SLF",27,56,-0.45,0.55,"negligible"
"pre","0","1",-0.0271212356891008,34,"Right_Arcuate",27,56,-0.64,0.5,"negligible"
"pre","0","1",0.421109087278259,34,"Right_IFOF",27,56,0.0084,0.95,"small"
"pre","0","1",-0.0245641471029469,34,"Right_ILF",27,56,-0.5,0.45,"negligible"
"pre","0","1",0.170382862892283,34,"Right_SLF",27,56,-0.28,0.67,"negligible"
"pre","0","1",0.364027657574631,35,"Left_Arcuate",27,56,-0.11,0.92,"small"
"pre","0","1",0.460538249774077,35,"Left_IFOF",27,56,-0.0056,0.98,"small"
"pre","0","1",0.130032918301501,35,"Left_ILF",27,56,-0.35,0.55,"negligible"
"pre","0","1",0.0521527154676829,35,"Left_SLF",27,56,-0.45,0.5,"negligible"
"pre","0","1",-0.00373670737871892,35,"Right_Arcuate",27,56,-0.61,0.56,"negligible"
"pre","0","1",0.370514464751535,35,"Right_IFOF",27,56,-0.08,0.9,"small"
"pre","0","1",-0.00157970293081369,35,"Right_ILF",27,56,-0.45,0.44,"negligible"
"pre","0","1",0.212280322821624,35,"Right_SLF",27,56,-0.23,0.68,"small"
"pre","0","1",0.308468298975569,36,"Left_Arcuate",27,56,-0.16,0.8,"small"
"pre","0","1",0.458766201848253,36,"Left_IFOF",27,56,-0.02,0.98,"small"
"pre","0","1",0.116154866065335,36,"Left_ILF",27,56,-0.35,0.57,"negligible"
"pre","0","1",0.0862738281460227,36,"Left_SLF",27,56,-0.37,0.61,"negligible"
"pre","0","1",0.0252231169672114,36,"Right_Arcuate",27,56,-0.5,0.6,"negligible"
"pre","0","1",0.321588848801213,36,"Right_IFOF",27,56,-0.13,0.77,"small"
"pre","0","1",0.0273056810615182,36,"Right_ILF",27,56,-0.41,0.47,"negligible"
"pre","0","1",0.248170041951395,36,"Right_SLF",27,56,-0.19,0.77,"small"
"pre","0","1",0.242170682590875,37,"Left_Arcuate",27,56,-0.19,0.74,"small"
